,clinic,date,rating,title,comment,comment_wo_stopwords
10,Mollison Way Surgery,2022-10-27,1.0,"This place is absolutely awful
    ","so when using the dr iq app it always seems to say there are no more online consultations available today and that's even at 10am in the morning. 
my disabled mum had a telephone appointment and the doctor never called her. she had a very bad infection which they could not see her for so had to take her to urgent care. i have seen people go in there to complain that's things have not been taken care of even after a few months. 
the staff are great at giving excuses and don't seem to know what they are doing. 
now it may not be totally their fault and occurs at other practices but it needs to be sorted as patients ultimately suffer!!!!",using dr iq app always seems say online consultations available today thats even 10am morning disabled mum telephone appointment doctor never called her bad infection could see take urgent care seen people go complain thats things taken care even months staff great giving excuses seem know doing may totally fault occurs practices needs sorted patients ultimately suffer
11,Mollison Way Surgery,2022-10-10,5.0,"best practice
    ",i find the surgery very prompt in services dr iq app specially very efficient and swift in communicating with doctors and pharmacist and reception staff,find surgery prompt services dr iq app specially efficient swift communicating doctors pharmacist reception staff
12,Mollison Way Surgery,2022-10-06,5.0,"excellent practice
    ",staff of this gp surgery is very friendly and helpful. i am getting good treatment from doctors and nurse.,staff gp surgery friendly helpful getting good treatment doctors nurse
13,Mollison Way Surgery,2022-10-20,5.0,"great preactice
    ",its very easy to use dr iq and doctor responds quickly. appointment are given on the same day and your issues are seen professionally.,easy use dr iq doctor responds quickly appointment given day issues seen professionally
14,Mollison Way Surgery,2022-09-27,5.0,"regular good service
    ",i am getting regular good service from mollison way surgery and doctors and staff are very helpful and friendly.,getting regular good service mollison way surgery doctors staff helpful friendly
15,Mollison Way Surgery,2022-09-23,5.0,"happy with the practice
    ",i am very happy with gp services particularly with doctors and reception staff who treat us very politely and good manner. ,happy gp services particularly doctors reception staff treat us politely good manner
16,Mollison Way Surgery,2022-09-28,5.0,"attentive practice
    ",this surgery has very attentive staff and doctors.  i am happy with the services provided here. i would recommend if you can recruit more staff to make it better.,surgery attentive staff doctors happy services provided here would recommend recruit staff make better
17,Mollison Way Surgery,2022-05-13,5.0,"excellent
    ",i visited this surgery and saw a particular doctor who was very helpful and listened to your problems. and i highly recommend it to friends and family,visited surgery saw particular doctor helpful listened problems highly recommend friends family
18,Mollison Way Surgery,2022-05-21,1.0,"Disappointed
    ",i am very disappointed to this surgery i came from india to uk before more than 1 year they never give me any appointment also i try to get appointment for cervical screening they told me to check blood pressure at home as well as today on 21st of may 2022 they give me an appointment which is at 09:00 a.m and 08:30 they call me for cancel an appointment and the reason was nurse not came today when i call them to take an appointment i already told them my work schedule not fix but specially for this appointment i took off and they told me call us again and we book your appointment again. they waste my time also my money i don't know why i paid for 2.5k for nhs. i was very upset for this and also for wasting my money ,disappointed surgery came india uk 1 year never give appointment also try get appointment cervical screening told check blood pressure home well today 21st may 2022 give appointment 0900 am 0830 call cancel appointment reason nurse came today call take appointment already told work schedule fix specially appointment took told call us book appointment again waste time also money know paid 25k nhs upset also wasting money
19,Mollison Way Surgery,2022-04-12,1.0,"Never actually able to see a GP
    ","i have tried to arrange an appointment for my elderly father with this gp surgery but the is never seen by an actual gp just nurses. he has a long term chronic illness. this gp surgery have written him off, i believe. terrible service always fobbed off on the phone or told to use the dr iq app but even then seen by a nurse never a gp",tried arrange appointment elderly father gp surgery never seen actual gp nurses long term chronic illness gp surgery written off believe terrible service always fobbed phone told use dr iq app even seen nurse never gp
20,Mollison Way Surgery,2022-04-04,1.0,"Doctor never available, receptionist poorest manners
    ","for the last 15 years i’ve only managed to see a nurse once, and that they were only interested to see me because i must have been classified an dominant patient who records would be closed and no payments for them. 

when i needed antibiotics for a chest infection that has been ongoing for over 2 weeks i was told no appointment, self isolate and go to app! appalling, i would not even recommend them to my worst enemy! close this surgery down! ",last 15 years i’ve managed see nurse once interested see must classified dominant patient records would closed payments them needed antibiotics chest infection ongoing 2 weeks told appointment self isolate go app appalling would even recommend worst enemy close surgery down
21,Mollison Way Surgery,2022-03-09,5.0,"Great practice
    ","the staff is friendly and quite efficient. that's not the best part of it, there was one error somewhere as my fit note was sent to my email and i have not received it, everyone was shocked i haven't received it and i was shocked it was sent already. i had blood tests and the results were ready within less than a week which i found impressive. when reaching for help for multiple problems the doctor called me back within a couple of hours, they were very empathetic and they listened properly to my problems. within minutes they have messaged me useful links to solving my problems, they have referred me for another medical issue, also after submitting a few medical requests and problems thru the app they came back with solutions to my problems the same day. for people that maybe didn't  the same experience, please keep in mind i was in a crisis situation and i was in need of urgent help. being in the middle of a crissis and feeling very anxious i was completely overwhelmed by the proffesionalism and kindness i was shown.",staff friendly quite efficient thats best part it one error somewhere fit note sent email received it everyone shocked received shocked sent already blood tests results ready within less week found impressive reaching help multiple problems doctor called back within couple hours empathetic listened properly problems within minutes messaged useful links solving problems referred another medical issue also submitting medical requests problems thru app came back solutions problems day people maybe experience please keep mind crisis situation need urgent help middle crissis feeling anxious completely overwhelmed proffesionalism kindness shown
22,Mollison Way Surgery,2022-02-24,1.0,"Poor reception staff
    ","i completed a review on doctor iq and the result indicated i needed to see my doctor.  after a 30 min wait on the phone i was advised they could do nothing and to go to a pharmacy.  i went to the pharmacy and was advised to go to my gp.  i called my gp and got a rude individual who told me there were no appointments for a week and ended my call.  i was in pain due to an ear infection and had to book a private doctor and was able to get the antibiotics needed.   once again if you need help, you got to pay for it.   i found reception person very poor and i hope the nhs contract is not renewed, only way to get ride of them",completed review doctor iq result indicated needed see doctor 30 min wait phone advised could nothing go pharmacy went pharmacy advised go gp called gp got rude individual told appointments week ended call pain due ear infection book private doctor able get antibiotics needed need help got pay it found reception person poor hope nhs contract renewed way get ride
23,Mollison Way Surgery,2021-11-18,1.0,"Fine for repeat prescriptions but not much else
    ","i have had no issues with sorting out repeat prescriptions here, but for anything to do with womens health. on more than one occasion i have felt dismissed when bringing up womens health - in on case when trying to book and appointment and in another actually in the appointment. it seems this isn't an area they are taking at all seriously which is incredibly disappointing, especially when talking to another woman.",issues sorting repeat prescriptions here anything womens health one occasion felt dismissed bringing womens health  case trying book appointment another actually appointment seems area taking seriously incredibly disappointing especially talking another woman
24,Mollison Way Surgery,2021-11-01,5.0,"Great doctor and medical staff
    ","excellent phone consultation with a doctor and another member of medical staff, today. both patient and reassuring and above all, kind. ",excellent phone consultation doctor another member medical staff today patient reassuring all kind
25,Mollison Way Surgery,2021-08-28,1.0,"Very poor service of GP
    ","very poor service and staff is totally unsupportive  never get appointments on time and all the time struggling all the time they told us contact to the hospital or we don’t have appointments it’s fully booked ,i think then no meaning of gp..
i do not recommend this gp .. going to change soon..
thanks .",poor service staff totally unsupportive never get appointments time time struggling time told us contact hospital don’t appointments it’s fully booked i think meaning gp recommend gp  going change soon thanks 
26,Mollison Way Surgery,2022-01-21,4.0,"My local GP - Good services
    ",this has been my local gp for the past few years and i am all-in-all pleased with the services provided. i am a type 1 diabetes sufferer and i was given a very good level of attention and help from the gp i usually book with which has resulted in my hospital referral. my only problem is with waiting times in the phone queue when calling in which can drag on.,local gp past years allinall pleased services provided type 1 diabetes sufferer given good level attention help gp usually book resulted hospital referral problem waiting times phone queue calling drag on
27,Mollison Way Surgery,2021-02-26,5.0,"Fantastic Service 
    ","i had 5 separate appointments with the nurse. she was very efficient informing me of what she was going to do, apologised for hurting me but it was not her it was the medication.  i was impressed with her approach. she is very caring, gentle and has a beautiful smile. i would put my life in her safe and gentle hands. thank you nurse. ",5 separate appointments nurse efficient informing going do apologised hurting medication impressed approach caring gentle beautiful smile would put life safe gentle hands thank nurse
28,Mollison Way Surgery,2021-02-26,5.0,"Lovely
    ","i recently moved to mollison way from another practice. i’ve found the staff to be knowledgable, polite and friendly, there are little to no wait times and i’ve been able to speak to someone on the phone or via the app every time i’ve needed to. when i came in today, the nurse who saw me was brilliant, especially when i expressed my phobia of needles - she was kind, reassuring and took my blood very efficiently. i’d definitely recommend this practice to others.",recently moved mollison way another practice i’ve found staff knowledgable polite friendly little wait times i’ve able speak someone phone via app every time i’ve needed to came today nurse saw brilliant especially expressed phobia needles  kind reassuring took blood efficiently i’d definitely recommend practice others
29,Mollison Way Surgery,2021-02-26,5.0,"Great experience 
    ",i was for a blood test to the surgery. the staff was really helpful and friendly. was comfortable to be there ,blood test surgery staff really helpful friendly comfortable
30,The Pinn Medical Centre,2022-12-13,2.0,"Patchs system closes too quickly
    ",the patchs  system is closed for most of the day. why can’t a request for an appointment be made at any time? it’s them up to the surgery to schedule it according to their resource availability. but not to even allow a request to be made beyond 9am or so is unacceptable. very poor service process which works for the surgery staff but not for its patients. ,patchs system closed day can’t request appointment made time it’s surgery schedule according resource availability even allow request made beyond 9am unacceptable poor service process works surgery staff patients
31,The Pinn Medical Centre,2022-12-08,4.0,"Good practice 
    ",electronic check in. short delay seeing gp. dealt with efficiently and effectively. appropriate tests scheduled by helpful receptionist. overall a good experience. ,electronic check in short delay seeing gp dealt efficiently effectively appropriate tests scheduled helpful receptionist overall good experience
32,The Pinn Medical Centre,2022-12-06,2.0,"Patches system for requests is completely unacceptable
    ","getting on patches to submit a request is almost impossible - each time over last 2 days, it said it had reached its limit, and would reopen in 1 hour. i finally managed to get on, only to be kicked out again after filling in the first screen, as it had reached its capacity!  i used to think pinn medical was very busy, but overall great.  this is no longer the case.   getting through to them is now almost impossible.  ",getting patches submit request almost impossible  time last 2 days said reached limit would reopen 1 hour finally managed get on kicked filling first screen reached capacity used think pinn medical busy overall great longer case getting almost impossible
33,The Pinn Medical Centre,2022-12-13,1.0,"Patchs does not serve patients
    ","making an appointment using patchs is almost impossible. despite so many complaints from patients, there is no attempt at a resolution.  ",making appointment using patchs almost impossible despite many complaints patients attempt resolution
34,The Pinn Medical Centre,2022-12-12,1.0,"not good
    ","making appointment is very difficult,we r senior citizen don't have much knowledge of computer/lap top. if we ask receptionist to make an appointment in advance they will say go through patch. we r struggling to make an appointment. my husband is vulnerable heart patient he need to see doctor time to time.we r with this surgery  for last 30 years.making appointment is very stressful. please let us know what is the best way to make an appointment. ",making appointment difficultwe r senior citizen much knowledge computerlap top ask receptionist make appointment advance say go patch r struggling make appointment husband vulnerable heart patient need see doctor time timewe r surgery last 30 yearsmaking appointment stressful please let us know best way make appointment
35,The Pinn Medical Centre,2022-11-29,2.0,"Not helpful
    ","trying to make an appointment is horrendous, how anyone without a smart phone or computer gets on is beyond me. i called to be told go online/go to - what/then got to - what/ fill out a form then another form really not helpful
on the whole if you can get to see a doctor its good but actually trying to get an appointment, well i give up seems you have to be dying before first and get the emergency services out,
would be better if you installed an ai (artificial intelligence) system for each doctor to book appointments works well for restaurants does away with unhelpful receptionist or whoever it is that answers the phones.
when you're not feeling well this just all adds to anxiety and stress 
i was told this is the only way to book if you're in harrow, i know of at least 3 other people who are with different surgery's that can just call for an appointment and they are in harrow ",trying make appointment horrendous anyone without smart phone computer gets beyond me called told go onlinego  whatthen got  what fill form another form really helpful whole get see doctor good actually trying get appointment well give seems dying first get emergency services out would better installed ai artificial intelligence system doctor book appointments works well restaurants away unhelpful receptionist whoever answers phones feeling well adds anxiety stress told way book harrow know least 3 people different surgerys call appointment harrow
36,The Pinn Medical Centre,2022-11-29,1.0,"Unable to book an appointment
    ","i have been trying to get an appointment on patches for 3 days without success. tried calling the surgery & was told patches is the only way i can get an appointment.
not the fault of the staff but really frustrating!",trying get appointment patches 3 days without success tried calling surgery  told patches way get appointment fault staff really frustrating
37,The Pinn Medical Centre,2022-11-11,3.0,"Patches app
    ","i today tried to register on patches to book a doctors appointment or consultation with  a doctor for my wife 
she has bedsores having  been largely on her back since her bi late femur breakage in september 
i tried to go on patches to ask for an appointment or get medication to be told at 12.08 that it had closed for the day why is patches not available 24/7 ?",today tried register patches book doctors appointment consultation doctor wife bedsores largely back since bi late femur breakage september tried go patches ask appointment get medication told 1208 closed day patches available 247 
38,The Pinn Medical Centre,2022-09-27,1.0,"Big challenge to book appointments
    ",the new online system for appointments closes usually before 9:30am because all the appointments have been taken up. it’s very difficult to make an appointment unless you go online as soon as the system opens at 8am. very frustrating and an unacceptable level of service. it’s always been difficult to book appointments at pinn med. ,new online system appointments closes usually 930am appointments taken up it’s difficult make appointment unless go online soon system opens 8am frustrating unacceptable level service it’s always difficult book appointments pinn med
39,The Pinn Medical Centre,2022-10-31,1.0,"appointment system
    ","very bad experience & difficult to make an appointment this new system patch , i think it's only on for an half hour then comes up with a message that it's fully booked try tomorrow. how can a senior citizen make an appointment who hasn't got a laptop/mobile or has no computer knowledge. on top of this so many question are being asked just to make an appointment. it will be helpful if we make a phone call and receptionist should just help . i don't think patch system is good for senior and vulnerable peoples.most of the surgeries still got the old system to make an appointment & it has been working nicely.",bad experience  difficult make appointment new system patch  think half hour comes message fully booked try tomorrow senior citizen make appointment got laptopmobile computer knowledge top many question asked make appointment helpful make phone call receptionist help  think patch system good senior vulnerable peoplesmost surgeries still got old system make appointment  working nicely
40,The Pinn Medical Centre,2022-10-08,1.0,"Worst practice
    ",went for a appointment for my daughter and had the worst experience.long waiting and the receptionist are not helpful at all and they were wasting time even though there were so many people queuing and waiting .the receptionist that i spoke to saw me i was in a rush and still did not care and was just taking her time and  rude instead of being helpful.i found both the receptionist cold and rude in their approach to the people visiting .i would not recommend anyone to use this surgery.,went appointment daughter worst experiencelong waiting receptionist helpful wasting time even though many people queuing waiting the receptionist spoke saw rush still care taking time rude instead helpfuli found receptionist cold rude approach people visiting i would recommend anyone use surgery
41,The Pinn Medical Centre,2022-09-15,1.0,"Impossible to contact
    ","like other reviewers i was told by pinn reception staff that they cannot make any appointments and this must be done via patchs.
here is the patchs website response:

""the pinn medical centre is currently unavailable for requests on patchs. help
patchs request has now closed for today as its reached to the maximum capacity so please add your request tomorrow morning from 8am for non urgent request, if its urgent for today please call 111.

we respond as soon as possible during our opening hours: 08.00am-6.30pm.""
the last line is just untrue unless ""soon as possible"" means never.",like reviewers told pinn reception staff cannot make appointments must done via patchs patchs website response the pinn medical centre currently unavailable requests patchs help patchs request closed today reached maximum capacity please add request tomorrow morning 8am non urgent request urgent today please call 111 respond soon possible opening hours 0800am630pm last line untrue unless soon possible means never
42,The Pinn Medical Centre,2022-08-03,2.0,"Terrible why Patchs?
    ","i can’t get an appointment.  supposedly i need to register with patchs to make an appointment, when i go to the patch’s  website it tells me i need to use a link on my gp’s website.  the pinn’s website no longer exists.  can you explain how i am meant to get an appointment to see a gp?!?!? feel sorry for elderly people how will they manage?",can’t get appointment supposedly need register patchs make appointment go patch’s website tells need use link gp’s website pinn’s website longer exists explain meant get appointment see gp feel sorry elderly people manage
43,The Pinn Medical Centre,2022-08-05,2.0,"Poor practice
    ","i received a text advising of an appointment. i replied by text to say the date was unsuitable. the next day i received a text reminding me of the first appointment. i phoned the surgery. after an hour my call was answered and they changed the date of my appointment. they also said they do not monitor texts, but in future, i could contact the surgery via 'patchs', so i registered with patchs. there was a message from the surgery on the patchs website saying the pinn medical centre is not currently accepting messages via patchs! so, not only can you not easily get to see a doctor at the pinn, you now can't contact them by text or email and if you are lucky enough to get an appointment and need to change it you will probably have to wait an hour on the phone for the privilege. this used to be a great practice, that provided a great service for their patients. unfortunately, this is no longer the case. ",received text advising appointment replied text say date unsuitable next day received text reminding first appointment phoned surgery hour call answered changed date appointment also said monitor texts future could contact surgery via patchs registered patchs message surgery patchs website saying pinn medical centre currently accepting messages via patchs so easily get see doctor pinn cant contact text email lucky enough get appointment need change probably wait hour phone privilege used great practice provided great service patients unfortunately longer case
44,The Pinn Medical Centre,2022-09-04,5.0,"Great practice and speedy response
    ","contacted the pinn reception regarding a possible uti, and was given an appointment within 3 hours when i received antibiotics. infection went but used patchs several days later when i had testicular swelling. received a doctor's appointment that same afternoon and was investigated, and referred for a hospital scan asap. brilliant service, very speedy and very professional. well done, and many thanks.",contacted pinn reception regarding possible uti given appointment within 3 hours received antibiotics infection went used patchs several days later testicular swelling received doctors appointment afternoon investigated referred hospital scan asap brilliant service speedy professional well done many thanks
45,The Pinn Medical Centre,2022-09-10,1.0,"Elderly mother can’t book an appointment
    ","my 86 year old mother went into the surgery to book an appointment. she was told she can’t book face to face, she has to do it online. my mum can’t do that; she’s just not able to. she was then told to fill in a paper form, which would be reviewed the following week, when the team would decide if she needed an appointment! my mum is a very robust lady, nothing phases her, but this really upset her! very poor service for elderly patients!",86 year old mother went surgery book appointment told can’t book face face online mum can’t that she’s able to told fill paper form would reviewed following week team would decide needed appointment mum robust lady nothing phases her really upset her poor service elderly patients
46,The Pinn Medical Centre,2022-08-12,4.0,"Excellent care
    ",called by gp for medication review.  took his time to explain my options and took account of my preferences.  very satisfied.,called gp medication review took time explain options took account preferences satisfied
47,The Pinn Medical Centre,2022-10-07,2.0,"Terrible service.
    ","i left a message on patchs on monday 3rd about passing blood in the urine today is thursday and no one has got back, today is thursday 7th and patchs is saying that it is unavailable.
i am blessed and hardly ever need a dr, i feel so sorry for the people do!.",left message patchs monday 3rd passing blood urine today thursday one got back today thursday 7th patchs saying unavailable blessed hardly ever need dr feel sorry people do
48,The Pinn Medical Centre,2022-07-26,2.0,"Cannot get appointments
    ","phoned up to book gp appointment.  was told to use the patches website or to phone early next day.   went on patches and it states that pinn medical are unavailable for requests.  

i do not need an urgent appointment but neither the receptionist was able (willing) to help booking an appointment nor can i book via patches.  this is a ridiculous process.",phoned book gp appointment told use patches website phone early next day went patches states pinn medical unavailable requests need urgent appointment neither receptionist able willing help booking appointment book via patches ridiculous process
49,The Pinn Medical Centre,2022-07-27,2.0,"Making an appointment
    ","i visited the pinn medical centre yesterday to try and make an appointment. i was told that it could only be done on patches. i went home and register with patches and it came up with pinn medical centre unavailable for requests. i phoned the pinn and was told that after a certain amount of requests are received it cuts off, and to try at 8 in the morning. i certainly don’t see this as progress.
",visited pinn medical centre yesterday try make appointment told could done patches went home register patches came pinn medical centre unavailable requests phoned pinn told certain amount requests received cuts off try 8 morning certainly don’t see progress
50,The Pinn Medical Centre,2022-07-20,4.0,"Good practice, but not great to make appointments 
    ","it takes a while to get an appointment, i used klinik because every time i have phoned i end up being cut off( despite being first in the queue). it did work but i still had to wait over 3 weeks for an appointment. the gp i saw was lovely , helpful and listened. so in all great gps but something needs to be done about making appointments. ",takes get appointment used klinik every time phoned end cut off despite first queue work still wait 3 weeks appointment gp saw lovely  helpful listened great gps something needs done making appointments
51,The Pinn Medical Centre,2022-06-20,2.0,"Poor service in all areas
    ","trying to call endlessly on 20/06/22
was unsuccessful, i drove to the pinn only to find out you can no longer call for appointments or in person to make one 
i was handed a piece of paper advising to use their klinik facility online 
in my despair to get an appointment for my husband i have tried the online system which was a complete waste of time as questions asked were irrelevant to me !

i will definitely  be removing my family from their care ",trying call endlessly 200622 unsuccessful drove pinn find longer call appointments person make one handed piece paper advising use klinik facility online despair get appointment husband tried online system complete waste time questions asked irrelevant  definitely removing family care
52,The Pinn Medical Centre,2022-06-09,2.0,"Poor customer service
    ","face to face and telephone service has been very poor.

telephone:  constantly engaged and having to wait more than 40 minutes. i rang for an appointment for my elderly mother and was told that i have to do all appointments online. 

this is really sad because old people are not computer literate and if they don't speak english then they are dependent on their offspring. a real sad state of affairs.

face to face: a little smile and courtesy go a long way. of course, there will always be some people who will be hard to please, but simile cost nothing and goes a long way to diffuse any in differences.
",face face telephone service poor telephone constantly engaged wait 40 minutes rang appointment elderly mother told appointments online really sad old people computer literate speak english dependent offspring real sad state affairs face face little smile courtesy go long way course always people hard please simile cost nothing goes long way diffuse differences
53,The Pinn Medical Centre,2022-05-05,4.0,"Professional and busy, but caring surgery
    ","the surgery has remained professional and caring throughout a huge influx of patients, other practice mergers, a pandemic, governmental and other changes.  the staff, doctors and nurses are efficient  whilst under a lot of pressure, dealing with an international patient base, with  language and cultural diversities.  the klinik online system is brilliant, reducing time in symptom checking, assessing appointment needs (although not having an option of 'in person' appointments, is a little awkward with work and other commitments). telephone appointments have been a brilliant introduction and means i can fit this into my day without having take time off work to attend in person, no matter where i am.  
i can only thank, commend and congratulate the pinn medicsl centre.",surgery remained professional caring throughout huge influx patients practice mergers pandemic governmental changes staff doctors nurses efficient whilst lot pressure dealing international patient base language cultural diversities klinik online system brilliant reducing time symptom checking assessing appointment needs although option in person appointments little awkward work commitments telephone appointments brilliant introduction means fit day without take time work attend person matter am thank commend congratulate pinn medicsl centre
54,The Pinn Medical Centre,2022-05-17,4.0,"Very satisfied
    ","for nearly 50 years we have been registered at the gp practice now known as the pinn medical centre.  we have always been treated with curtesy and received either an appointment, or advice needed.  
i just want to say 'thank you'
margaret crush",nearly 50 years registered gp practice known pinn medical centre always treated curtesy received either appointment advice needed want say thank you margaret crush
