,OrganisationCode,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude
2073,E86022,The Abbotsbury Practice,Eastcote Health Centre,2A Abbotsbury Gardens,Pinner,Middlesex,,HA5 1TG,51.579265594482415,-0.397391676902771
2237,E86041,Acre Surgery,Acre Surgery,Northwood Health Centre,Neal Close,Northwood,Middlesex,HA6 1TQ,51.60446548461913,-0.4115371406078338
2261,E86006,The Devonshire Lodge Practice,The Devonshire Lodge Practice,Eastcote Health Centre,Abbotsbury Gardens,Pinner,Middlesex,HA5 1TG,51.579265594482415,-0.397391676902771
2419,E84693,St Peter's Medical Centre,Colbeck Road,,,West Harrow,Middlesex,HA1 4BS,51.57649612426758,-0.3506872653961181
2543,E84004,THE CIRCLE PRACTICE,BELMONT HEALTH CENTRE,516 KENTON LANE,HARROW,MIDDX,,HA3 7LT,51.601112365722656,-0.3205988705158233
2593,E86615,Acrefield Surgery,Acrefield Surgery,700 Field End Road,South Ruislip,Middlesex,Middlesex,HA4 0QR,51.56222534179688,-0.3822941184043884
3371,E84062,The Shaftesbury Medical Centre,39 shaftesbury Parade,Harrow,,London,Middlesex,HA2 0AH,51.57170486450195,-0.3539920151233673
3415,E84678,Preston Medical Centre,23 Preston Road,,,Wembley ,Middlesex,HA9 8JZ,51.564334869384766,-0.292564570903778
3416,E84653,Zain Medical Centre,122 Turner Road,Edgware,,London,,HA8 6BH,51.597850799560554,-0.2901817262172699
3455,E84008,Simpson House Medical Centre,255 Eastcote Lane,,,Harrow,,HA2 8RS,51.5616569519043,-0.3724173903465271
3819,E86001,The Steven Shackman Practice,Rickmansworth Road,,,Northwood,Middlesex,HA6 2RG,51.615867614746094,-0.4425259828567504
4134,Y05080,First Choice Medical Care,275A KINGS ROAD,HARROW,,MIDDLESEX,,HA2 9LG,51.571243286132805,-0.3757114112377166
4193,E86033,St Martins Medical Centre (Main Surgery),21 Eastcote Road,,,Ruislip,Middlesex,HA4 8BE,51.5776481628418,-0.4245518445968627
4287,E84601,KENTONBRIDGEMEDICAL CENTRE ,155-175 KENTON ROAD ,KENTON ,,HARROW,,HA3 0YX,51.582134246826165,-0.3164922595024108
4431,E84083,LANFRANC MEDICAL CENTRE,2 Lanfranc Court,Greenford Road,Greenford,,Middlesex,HA1 3QE,51.56158447265625,-0.3327313959598541
4474,E83038,Jai Medical Centre,114 Edgwarebury Lane,,,Edgware,Middlesex,HA8 8NB,51.62204360961913,-0.2775277197360992
4620,E83028,Parkview Surgery,36 Cressingham Road,,,Edgware,Middlesex,HA8 0RW,51.606971740722656,-0.2574612498283386
4716,E84066,Hazeldene Medical Group Practice,Hazeldene Medical Centre,1b Wyld Way,,London,Middlesex,HA9 6PW,51.54759216308594,-0.275379478931427
4752,E83018,WATLING MEDICAL CENTRE Stanmore,42 London Road,STANMORE,MIDDLESEX,,,HA7 4NU,51.62127304077149,-0.2969289124011993
4791,E84057,The Stanmore Medical Centre,85 Crowshott Avenue,Stanmore,Middlesex,,,HA7 1HS,51.601539611816406,-0.3040063679218292
4841,E84713,The Enterprise Practice,Belmont Health Centre,516 Kenton Lane,Belmont,Harrow,Middlesex,HA3 7LT,51.601112365722656,-0.3205988705158233
4851,E86028,Eastbury Surgery,Eastbury Surgery,3 Eastbury Road,,Northwood,,HA6 3BG,51.611629486083984,-0.4238956570625305
5061,E84040,Pinner Road Surgery,196 Pinner Road,Harrow,,Miidx,Middlesex,HA1 4JS,51.582794189453125,-0.3528408110141754
5181,E86618,Carepoint Practice,Northwood Health Centre,Neal Close,Acre Way,Northwood,Middlesex,HA6 1TQ,51.60446548461913,-0.4115371406078338
5270,E84032,Ellis Practice,113 Chalkhill Road,Wembley,,London,,HA9 9FX,51.56389617919922,-0.2765373885631561
5415,E84626,The Sunflower Medical Centre,116 Chaplin Road,Wembley,Wembley,WEMBLEY,Greater London,HA0 4UZ,51.549713134765625,-0.306770920753479
5440,E84009,Enderley Road Medical Centre,41~45 Enderley Road,,,Harrow,Middlesex,HA3 5HF,51.60187149047852,-0.3404543995857238
5484,E84685,Sudbury Surgery,Sudbury Primary Care Centre,Vale Farm,Watford Road,Wembley,Middlesex,HA0 3HG,51.558197021484375,-0.3163809478282928
5717,E84069,Dr Wijeratne & Partners,Belmont Health Centre,,,Harrow,,HA3 7LT,51.601112365722656,-0.3205988705158233
5723,E84658,ASPRI MEDICAL CENTRE,1-3 Long Elmes,HARROW WEALD,,HARROW,Middlesex,HA3 5LE,51.60447311401367,-0.3429878652095794
5758,E84680,Headstone Road Surgery,107 Headstone Road,,,Harrow,Middlesex,HA1 1PG,51.58376693725586,-0.3408975601196289
5966,Y02692,Brent GP Access Centre and Harness Wembley Practice,Westmore Unit,Wembley Centre for Health and Care,116 Chaplin Road,Wembley,Middlesex,HA0 4UZ,51.549713134765625,-0.306770920753479
6160,E84017,Sudbury and Alperton Medical Centre,267 Ealing Road,,,Wembley,Middlesex,HA0 1EZ,51.536914825439446,-0.2980319559574127
6479,E84039,Honeypot Medical Centre,404 Honeypot Lane,,,Stanmore,Middlesex,HA7 1JP,51.59698867797852,-0.2945311665534973
6606,E84061,Elliott Hall Medical Centre,165-167 Uxbridge Road,,,Hatch End,Middlesex,HA5 4EA,51.60847854614258,-0.362511783838272
